individuals	species
1	1
2	2
3	3
4	3
5	4
6	5
7	6
8	7
9	8
10	9
11	9
12	9
13	10
14	10
15	10
16	11
17	12
18	13
19	14
20	15
21	16
22	16
23	16
24	16
25	17
26	17
27	17
28	17
29	18
30	18
31	18
32	19
33	20
34	21
35	21
36	21
37	21
38	21
39	21
40	21
41	21
42	22
43	22
44	22
45	22
46	23
47	23
48	23
49	23
50	23
51	23
52	23
53	24
54	25
55	25
56	25
57	25
58	25
59	25
60	25
61	25
62	25
63	26
64	26
65	26
66	26
67	27
68	27
69	27
70	27
71	27
72	27
73	28
74	28
75	28
76	28
77	28
78	28
79	28
80	28
81	28
82	28
83	28
84	28
85	28
86	28
87	28
88	28
89	28
90	28
91	28
92	28
93	28
94	28
95	28
96	28
97	28
98	28
99	28
100	28
101	28
102	28
103	28
104	28
105	28
106	28
107	28
108	28
109	28
110	28
111	28
112	28
113	28
114	28
115	28
116	28
117	28
118	28
119	28
120	28
121	28
122	28
123	28
124	28
125	28
126	28
127	28
